TRUCK_SERIES,TRUCK_TYPE,AXLE_CONF,COMMERCIAL_NAME,TRUCK_ENGINE,MIN_WEIGHT,MAX_WEIGHT
CF-Cab + H-Chassis,Tractor,4x2,FT,MX-11 - 10.8L,6500,40000
CF-Cab + H-Chassis,Tractor,4x2,FT,Unknown Engine Type: E,6500,40000
CF-Cab + H-Chassis,Rigid,4x2,FA,MX-13 - 12.9L,6350,40000
CF-Cab + H-Chassis,Rigid,4x2,FA,MX-11 - 10.8L,6250,40000
CF-Cab + H-Chassis,Tractor,4x2,FT,MX-13 - 12.9L,6500,40000
CF-Cab + H-Chassis,Tractor,6x2,FTS/FTR/FTN,MX-13 - 12.9L,7800,50000
CF-Cab + H-Chassis,Tractor,6x2,FTS/FTR/FTN,MX-11 - 10.8L,7800,50000
CF-Cab + H-Chassis,Tractor,6x2,FTG/FTP,MX-13 - 12.9L,7300,50000
CF-Cab + H-Chassis,Rigid,6x2,FAG/FAP,MX-11 - 10.8L,7600,40000
CF-Cab + H-Chassis,Rigid,6x2,FAS/FAR/FAN,Unknown Engine Type: E,7500,40000
CF-Cab + H-Chassis,Rigid,6x2,FAS/FAR/FAN,MX-13 - 12.9L,7750,40000
CF-Cab + H-Chassis,Rigid,6x2,FAS/FAR/FAN,PX-7 - Paccar/Cummins - 6.7L,7000,30500
CF-Cab + H-Chassis,Rigid,6x2,FAS/FAR/FAN,MX-11 - 10.8L,7500,40000
CF-Cab + H-Chassis,Tractor,6x2,FTG/FTP,MX-11 - 10.8L,7300,50000
CF-Cab + H-Chassis,Rigid,6x4,FAT,MX-11 - 10.8L,8750,40000
CF-Cab + H-Chassis,Tractor,6x4,FTT,MX-13 - 12.9L,8750,50000
CF-Cab + H-Chassis,Tractor,6x4,FTT,MX-11 - 10.8L,8750,50000
CF-Cab + H-Chassis,Rigid,6x4,FAT,MX-13 - 12.9L,8850,50000
CF-Cab + H-Chassis,Rigid,8x2,FAK/FAQ,MX-11 - 10.8L,9350,40000
CF-Cab + H-Chassis,Rigid,8x2,FAC/FAX,MX-11 - 10.8L,9000,40000
CF-Cab + H-Chassis,Rigid,8x2,FAK/FAQ,MX-13 - 12.9L,9350,40000
CF-Cab + H-Chassis,Rigid,8x2,FAC/FAX,MX-13 - 12.9L,9000,40000
CF-Cab + H-Chassis,Rigid,8x4,FAD,MX-11 - 10.8L,9150,35500
CF-Cab + H-Chassis,Rigid,8x4,FAW,MX-13 - 12.9L,10000,43000
CF-Cab + H-Chassis,Rigid,8x4,FAW,MX-11 - 10.8L,10000,43000
CF-Cab + H-Chassis,Rigid,8x4,FAD,MX-13 - 12.9L,9850,50000
